sex,offense_class,offense_type,offense_subtype,age,non_white,weight,recidivism
0.0,0.0,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.75,0.0,1.01122105801,1.0
1.0,0.153846153846,0.25,0.88,0.5,1.0,0.970504216898,1.0
0.0,0.230769230769,0.25,0.04,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.92,0.75,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.44,0.5,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.230769230769,0.25,0.04,1.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.08,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,1.0,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.44,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.25,0.16,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.0,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.25,0.04,0.75,1.0,0.970504216898,1.0
0.0,0.230769230769,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.36,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.08,0.5,0.0,1.01122105801,1.0
1.0,0.0769230769231,0.5,0.08,0.25,0.0,1.01122105801,1.0
1.0,0.0,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.75,0.48,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.48,0.75,0.0,1.01122105801,1.0
0.0,0.230769230769,0.5,0.28,0.75,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.48,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.75,0.48,1.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.44,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.64,0.25,0.0,1.01122105801,1.0
0.0,0.230769230769,0.5,0.08,0.25,0.0,1.01122105801,1.0
1.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.48,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.4,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.75,0.0,1.01122105801,1.0
0.0,0.0,0.25,0.64,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.75,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.28,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.44,0.0,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.44,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
1.0,0.0769230769231,0.75,0.12,0.75,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.32,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.32,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.36,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.0,1.0,0.970504216898,1.0
0.0,0.153846153846,0.0,0.0,0.5,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.25,1.0,0.970504216898,1.0
1.0,0.0,0.75,0.48,0.25,1.0,0.970504216898,1.0
0.0,0.153846153846,0.0,0.0,0.5,0.0,1.01122105801,1.0
1.0,0.0769230769231,0.5,0.28,1.0,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,1.0,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.64,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.2,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.32,0.0,1.0,0.970504216898,1.0
0.0,0.0,0.5,0.4,0.25,0.0,1.01122105801,1.0
1.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.01122105801,1.0
1.0,0.0,0.5,0.36,0.75,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.28,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.25,0.72,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.24,0.5,1.0,0.970504216898,1.0
0.0,0.153846153846,0.25,0.52,0.75,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.5,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.08,1.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.25,0.16,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.25,0.04,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.0,0.0,1.01122105801,1.0
1.0,0.0,0.75,0.44,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.04,0.25,0.0,1.01122105801,1.0
0.0,0.307692307692,0.0,0.2,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.25,0.6,0.0,1.0,0.970504216898,1.0
1.0,0.230769230769,0.75,0.48,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.384615384615,0.0,0.0,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.32,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.5,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.24,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,1.0,0.970504216898,1.0
0.0,0.0,0.5,0.08,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.0,0.0,1.01122105801,1.0
1.0,0.307692307692,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.48,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.48,0.75,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.5,0.08,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.08,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.307692307692,0.0,0.92,0.5,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.08,0.0,0.0,1.01122105801,1.0
1.0,0.230769230769,0.25,0.6,0.75,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.28,0.0,1.0,0.970504216898,1.0
0.0,0.153846153846,0.5,0.08,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.0,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.2,0.0,1.0,0.970504216898,1.0
0.0,0.0,0.0,0.0,0.25,1.0,0.970504216898,1.0
0.0,0.230769230769,0.25,0.72,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.307692307692,0.0,0.92,0.75,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.48,0.75,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.48,0.5,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.4,0.0,0.0,1.01122105801,1.0
1.0,0.0,0.5,0.08,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.08,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.75,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.04,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.230769230769,0.5,0.08,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.5,0.28,0.0,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.44,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.5,1.0,0.970504216898,1.0
1.0,0.0769230769231,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.5,1.0,0.970504216898,1.0
0.0,0.307692307692,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.36,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.32,0.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.32,0.75,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.24,0.25,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.48,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.64,0.75,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,1.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.75,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.36,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.36,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.12,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,1.0,0.970504216898,1.0
1.0,0.0,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.24,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.5,0.0,1.01122105801,1.0
1.0,0.230769230769,0.0,0.24,0.75,1.0,0.970504216898,1.0
0.0,0.0,0.0,0.32,0.75,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.384615384615,0.0,0.0,0.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.64,0.25,1.0,0.970504216898,1.0
0.0,0.307692307692,0.0,0.2,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.0,0.24,0.25,1.0,0.970504216898,1.0
0.0,0.307692307692,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,1.0,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.44,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.75,0.48,0.25,0.0,1.01122105801,1.0
1.0,0.230769230769,0.5,0.36,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.48,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.5,0.0,1.01122105801,1.0
1.0,0.0769230769231,0.5,0.28,0.25,1.0,0.970504216898,1.0
0.0,0.307692307692,0.75,0.12,0.75,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.5,0.36,0.5,1.0,0.970504216898,1.0
0.0,0.384615384615,0.0,0.0,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.25,0.64,0.75,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.75,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.28,0.0,1.0,0.970504216898,1.0
0.0,0.153846153846,0.25,0.16,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
1.0,0.0769230769231,0.75,0.12,0.5,1.0,0.970504216898,1.0
0.0,0.307692307692,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,1.0,1.0,0.970504216898,1.0
0.0,0.0,0.25,0.04,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.75,0.0,1.01122105801,1.0
0.0,0.230769230769,0.25,0.04,0.75,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
1.0,0.153846153846,0.5,0.28,0.5,1.0,0.970504216898,1.0
0.0,0.307692307692,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.64,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.28,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.56,0.25,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.08,0.75,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.75,0.48,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.48,0.25,1.0,0.970504216898,1.0
0.0,0.153846153846,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.0,1.0,0.970504216898,1.0
0.0,0.153846153846,0.5,0.28,0.75,0.0,1.01122105801,1.0
0.0,0.0,0.25,0.04,0.75,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.24,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.28,0.25,1.0,0.970504216898,1.0
0.0,0.153846153846,0.0,0.0,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.75,1.0,0.970504216898,1.0
0.0,0.0,0.25,0.04,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.75,1.0,0.970504216898,1.0
0.0,0.384615384615,0.0,0.0,0.5,1.0,0.970504216898,1.0
0.0,0.153846153846,0.0,0.0,0.5,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.25,1.0,0.970504216898,1.0
1.0,0.0,0.5,0.36,1.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.32,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.5,1.0,0.970504216898,1.0
0.0,0.153846153846,0.5,0.28,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.5,0.0,1.01122105801,1.0
1.0,0.0,0.25,0.04,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.44,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.307692307692,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.48,0.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.36,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,1.0,0.68,0.5,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.75,0.0,1.01122105801,1.0
0.0,0.0,0.25,0.64,0.0,1.0,0.970504216898,1.0
1.0,0.0,0.75,0.48,0.75,0.0,1.01122105801,1.0
1.0,0.153846153846,0.25,0.52,0.75,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.28,0.5,1.0,0.970504216898,1.0
0.0,0.307692307692,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.230769230769,0.5,0.36,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.5,0.0,1.01122105801,1.0
0.0,0.307692307692,0.0,0.2,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.5,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.5,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.230769230769,0.25,0.04,0.75,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.0,1.0,0.970504216898,1.0
1.0,0.0769230769231,0.75,0.12,0.5,1.0,0.970504216898,1.0
0.0,0.0,0.25,0.16,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.52,0.5,1.0,0.970504216898,1.0
0.0,0.153846153846,0.5,0.36,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.5,0.28,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.28,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.4,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.0,1.0,0.970504216898,1.0
0.0,0.153846153846,0.5,0.28,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.48,0.5,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.0,1.0,0.970504216898,1.0
1.0,0.0,0.75,0.44,0.0,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.5,0.08,0.0,1.0,0.970504216898,1.0
0.0,0.0,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.0,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.75,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.36,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.72,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.5,0.0,1.01122105801,1.0
0.0,0.307692307692,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.0,0.0,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.25,1.0,0.970504216898,1.0
1.0,0.153846153846,0.25,0.52,0.75,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.0,0.32,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.230769230769,0.5,0.08,0.75,1.0,0.970504216898,1.0
0.0,0.307692307692,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.4,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.64,0.5,1.0,0.970504216898,1.0
0.0,0.153846153846,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.0,0.0,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.48,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.25,0.04,0.25,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.64,1.0,0.0,1.01122105801,1.0
0.0,0.153846153846,0.0,0.0,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.0,0.2,0.25,1.0,0.970504216898,1.0
0.0,0.307692307692,0.0,0.2,0.0,0.0,1.01122105801,1.0
0.0,0.384615384615,0.0,0.0,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
1.0,0.0769230769231,0.75,0.12,0.0,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.5,0.08,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.48,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.25,0.16,0.25,0.0,1.01122105801,1.0
0.0,0.0,0.5,0.08,0.75,0.0,1.01122105801,1.0
0.0,0.153846153846,0.5,0.28,1.0,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.44,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.12,0.25,0.0,1.01122105801,1.0
0.0,0.230769230769,0.5,0.28,0.25,0.0,1.01122105801,1.0
1.0,0.307692307692,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.153846153846,0.25,0.16,0.75,0.0,1.01122105801,1.0
0.0,0.0,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.0,0.75,0.48,0.25,0.0,1.01122105801,1.0
0.0,0.0769230769231,0.75,0.12,0.5,0.0,1.01122105801,1.0
1.0,0.0769230769231,0.75,0.12,0.5,0.0,1.01122105801,1.0
0.0,0.307692307692,0.0,0.2,0.5,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.0,0.0,0.0,1.0,0.970504216898,1.0
0.0,0.153846153846,0.0,0.2,0.25,1.0,0.970504216898,1.0
0.0,0.0769230769231,0.75,0.12,0.25,1.0,0.970504216898,1.0
0.0,0.153846153846,0.5,0.28,0.25,0.0,1.01122105801,1.0
1.0,0.0,0.5,0.28,1.0,0.0,1.01122105801,1.0
0.0,0.230769230769,0.75,0.12,0.75,0.0,1.01122105801,1.0
